comment,author,likes,publishedAt
they making dumb ass robos without even a business model these people don39t survive in market,@Oliver_Arif,0,2025-08-23T10:30:01Z
24 k age m yha tk aana bhut badi baat h muje to pta bhi ni m kha tha,@kunalvashistha240,0,2025-08-23T08:58:13Z
no bolna tha because iska loss ho jayega,@Sudhakar-v9h,0,2025-08-23T06:44:51Z
top bar dikh rha hai display mein,@anirbanmidya5426,0,2025-08-23T06:26:43Z
comment shows they are not supporting even they are not doing somthing like that i am supporting this,@Joy-n2b,0,2025-08-22T16:56:12Z
to all those who is undermining the accomplishments of these by saying negative commentsjust think about what you have created in your life,@MUKESHYADAV-lf8cv,0,2025-08-22T13:29:28Z
piyush sir jaisa insaan koi nehi,@tamojitsarkar8541,0,2025-08-22T12:52:31Z
in india people critize a lot  bhle khud ki aukaat na ho,@SanatanLens4354,0,2025-08-22T04:17:36Z
iitiannitian k liye ye roz ka kaam hai,@কঙ্গলুmadarchod,1,2025-08-22T04:03:43Z
gala dogla hai yah sab shark wale mader chhod,@ankitchaudhary7993,0,2025-08-22T02:52:57Z
maro saala ye shark tank walo ko or murkh hai log jo apna skill shark tank jaise ke pass dikhane jate h,@piyushkumarGURUDEVofficial,1,2025-08-21T07:16:31Z
please help me please,@Arqam.muslim,0,2025-08-21T06:57:56Z
tu kya dekh rha he berojgar 25 sal ka ldka,@Rak5ha5,2,2025-08-20T14:35:24Z
namita ko to main kabhi bhi deal karte nahi dekha jab dekho to quotl am outquot,@MukeshKumar-v4x7w,0,2025-08-20T06:00:12Z
ashneer hai toh show,@PratikJain-xp4fb,0,2025-08-19T20:12:01Z
ashneer,@PratikJain-xp4fb,0,2025-08-19T20:11:38Z
humse china robot me 100sal aage,@gullyboy3782,7,2025-08-19T16:51:08Z
these are so old and really old looking when there are companies like unitree and boston dynamics this looks like a literal toy no wonder india was not there in the robotic olympics even brazil was there the country which have no history of making robots but india where the country always talks about making robotics we have these type of cheap toys,@plusultra7258,0,2025-08-19T16:49:49Z
look at other robots around the globethey do back flips they run they play with kids so i would say this is not even close,@Ridingsincesixteen,6,2025-08-19T16:33:11Z
i don39t think piyush gave any attention to pitch it wasn39t great but he did extract the usefulness of the idea he was presented from his own viewbri guess luck,@kng1433-g4x,0,2025-08-19T14:35:12Z
10 hazar ka robot 6 lakh,@Rajeshbehera-y4d,0,2025-08-19T14:26:38Z
iit krka yaa robot bana raha hai,@Rajeshbehera-y4d,0,2025-08-19T14:23:45Z
matalab logo ki naukari khane ke liye company banaye ho,@shfyuojdghjfrrjjff,0,2025-08-19T13:17:11Z
thank you guys 421 subscribe humare next challenge hai 500 subscribe  ka,@Itsrohithub,0,2025-08-19T11:05:53Z
wow what a great inventions,@Sourav.Yadav0001,0,2025-08-19T09:57:57Z
